,ID,Followers,Following,Posts,Is private,ID has number,ID has number at end,ID letter ratio,Following/follower ratio,Following/post ratio,Follower/post ratio,IsFake
136,mouna_khaled98,101,248,14,True,True,True,0.7857142857142857,2.4554455445544554,17.714285714285715,7.2142857142857135,False
137,haya_aldimasi,168,733,426,True,False,False,0.9230769230769232,4.363095238095238,1.7206572769953052,0.39436619718309857,False
138,iolcoi,19,108,3,False,False,False,1.0,5.684210526315789,36.0,6.333333333333332,False
139,oux19gt,41,47,4,False,True,False,0.7142857142857143,1.146341463414634,11.75,10.25,False
140,___.nnoorraa.___,13200,1370,536,False,False,False,0.5,0.1037878787878788,2.5559701492537314,24.626865671641788,False
141,pravinsingh17,664,165,11,False,True,True,0.8461538461538461,0.2484939759036145,15.0,60.36363636363637,False
142,leonheinz87,103,200,12,False,True,True,0.8181818181818182,1.9417475728155342,16.666666666666668,8.583333333333334,False
143,3.an2_,224,304,1,False,True,False,0.3333333333333333,1.3571428571428572,304.0,224.0,True
144,m.albrag,4101,109,4,False,False,False,0.875,0.0265788831992197,27.25,1025.25,False
145,rvo_o,982,305,5,False,False,False,0.8,0.3105906313645621,61.0,196.4,False
146,farahwaleedd_,1951,406,12,False,False,False,0.9230769230769232,0.20809841107124552,33.833333333333336,162.58333333333334,False
147,malokaa_4m,10,530,3,True,True,False,0.8,53.0,176.66666666666663,3.333333333333333,True
148,gufvuiip1188,356,117,119,False,True,True,0.6666666666666666,0.32865168539325845,0.9831932773109244,2.9915966386554618,False
149,iimoh18,9452,205,7,False,True,True,0.7142857142857143,0.021688531527719,29.285714285714285,1350.2857142857142,False
150,ii_fortnitev,157,121,3,False,False,False,0.9166666666666666,0.7707006369426752,40.333333333333336,52.33333333333334,False
151,azoz_alrja,137,394,95,False,False,False,0.9,2.8759124087591235,4.147368421052631,1.4421052631578948,False
152,f.qr_,974,370,10,False,False,False,0.6,0.3798767967145791,37.0,97.4,False
153,aynshtania.dos,10100,227,123,False,False,False,0.9285714285714286,0.022475247524752474,1.8455284552845528,82.11382113821138,False
154,mnourah512,16,129,0,False,True,True,0.7,8.0625,inf,inf,True
155,cousingerman3841473,15,904,1,False,True,True,0.631578947368421,60.26666666666666,904.0,15.0,True
156,abdo__a_z,179,156,5,False,False,False,0.6666666666666666,0.8715083798882681,31.2,35.8,False
157,d2i2i,51,237,15,True,True,False,0.6,4.647058823529412,15.8,3.4,False
158,mdabjjf655,1021,265,77,False,True,True,0.7,0.2595494613124388,3.441558441558441,13.25974025974026,False
159,g.ervin20,16,15,0,False,True,True,0.6666666666666666,0.9375,inf,inf,False
160,_sarapirda_,1018,712,79,True,False,False,0.8181818181818182,0.6994106090373281,9.0126582278481,12.886075949367086,False
161,jonathan_ss177,51,190,0,False,True,True,0.7142857142857143,3.725490196078432,inf,inf,True
162,mari_raele,19400,632,347,False,False,False,0.9,0.03257731958762886,1.8213256484149856,55.90778097982709,False
163,alena_kkkkkk,787,253,99,False,False,False,0.9166666666666666,0.32147395171537485,2.555555555555556,7.949494949494951,False
164,tresyaandriani,3424,667,4,False,False,False,1.0,0.19480140186915887,166.75,856.0,False
165,ellarilia,775,112,8,False,False,False,1.0,0.14451612903225808,14.0,96.875,False
166,sayyedzaid4080,461,311,31,False,True,True,0.7142857142857143,0.6746203904555315,10.03225806451613,14.870967741935484,False
167,san_ricky_ben_ng_,512,899,31,True,False,False,0.7647058823529411,1.755859375,29.0,16.516129032258064,False
168,itsmohammeds,154,81,0,False,False,False,1.0,0.525974025974026,inf,inf,False
169,venus.vs.mars,2305,274,2522,False,False,False,0.8461538461538461,0.11887201735357918,0.10864393338620144,0.9139571768437748,False
170,deivy.md,340,344,13,False,False,False,0.875,1.0117647058823531,26.461538461538463,26.153846153846153,False
171,adesh_palve_2001,147,253,47,False,True,True,0.625,1.7210884353741496,5.382978723404255,3.127659574468085,False
172,afp_sn,8786,236,113,False,False,False,0.8333333333333334,0.026860915092192125,2.088495575221239,77.75221238938053,False
173,xx_seu_xx,95,17,0,True,False,False,0.7777777777777778,0.17894736842105266,inf,inf,True
174,afiq_nadvi,2722,71,3,True,False,False,0.9,0.026083761939750184,23.66666666666667,907.3333333333335,False
175,verzhelenko,3181,214,273,False,False,False,1.0,0.06727444199937127,0.7838827838827839,11.652014652014651,False
176,in__s.k__,376,278,30,False,False,False,0.4444444444444444,0.7393617021276596,9.266666666666667,12.533333333333333,False
177,miaasfya._,848,336,0,False,False,False,0.8,0.3962264150943397,inf,inf,True
178,sovethan_temirlan,639,164,12,False,False,False,0.9411764705882352,0.2566510172143975,13.666666666666664,53.25,False
